glacier_id,glacier_na,glims_id,wgi_id,rgi_id,nhd_id,gnis_id,recno,parent_ice,glac_status
G241583E37023N,CA,G241583E37023N,US2L00213005,RGI60-02.15084,77318968, ,2.02E+11,,exists
G241481E37024N,CA,G241481E37024N,,RGI60-02.15085,33994973, ,,,exists
G241389E37022N,CA,G241389E37022N,,RGI60-02.15086,33994919, ,,,exists
G241476E37025N,CA,G241476E37025N,,RGI60-02.15087,33994969, ,,,exists
G241582E37027N,CA,G241582E37027N,,RGI60-02.15088,77318966, ,,,exists
G241526E37028N,CA,G241526E37028N,,RGI60-02.15089,33994991, ,,,exists
G241307E37025N,CA,G241307E37025N,,RGI60-02.15090,33994873, ,,,exists
G241579E37030N,CA,G241579E37030N,,RGI60-02.15091,77318964, ,2.02E+11,,exists
G241522E37034N,CA,G241522E37034N,,RGI60-02.15092,33994965, ,,,exists
G241271E37031N,CA,G241271E37031N,,RGI60-02.15093,33994813, ,,,exists
G241517E37036N,CA,G241517E37036N,,RGI60-02.15094,33994951, ,,,exists
G241264E37033N,CA,G241264E37033N,,RGI60-02.15095,33994805, ,,,exists
G241571E37037N,CA,G241571E37037N,,RGI60-02.15096,77318958, ,2.02E+11,,exists
G241569E37038N,CA,G241569E37038N,US2L00213009,RGI60-02.15097,77318956, ,2.02E+11,,exists
G241388E37041N,CA,G241388E37041N,,RGI60-02.15098,33994863, ,,,exists
G241563E37046N,CA,G241563E37046N,,RGI60-02.15099,77318946, ,2.02E+11,,exists
G241565E37047N,CA,G241565E37047N,,RGI60-02.15100,77318942, ,2.02E+11,,exists
G241547E37049N,CA,G241547E37049N,,RGI60-02.15101,33994931, ,,,exists
G241549E37050N,CA,G241549E37050N,,RGI60-02.15102,33994927, ,,,exists
G241374E37049N,CA,G241374E37049N,,RGI60-02.15103,33994825, ,,,exists
G241568E37051N,CA,G241568E37051N,,RGI60-02.15104,77318932, ,2.02E+11,,exists
G241374E37054N,CA,G241374E37054N,,RGI60-02.15105,33994803, ,,,exists
G241320E37055N,CA,G241320E37055N,,RGI60-02.15106,33994763, ,,,exists
G241369E37058N,CA,G241369E37058N,,RGI60-02.15107,33994787, ,,,exists
G241569E37060N,CA,G241569E37060N,,RGI60-02.15108,77318920, ,2.02E+11,,exists
G241571E37064N,CA,G241571E37064N,,RGI60-02.15109,77318914, ,2.02E+11,,exists
G241563E37064N,CA,G241563E37064N,US2L00213013,RGI60-02.15110,77318910, ,2.02E+11,,exists
G241366E37064N,CA,G241366E37064N,,RGI60-02.15111,33994767, ,,,exists
G241314E37065N,CA,G241314E37065N,US2K04312003,RGI60-02.15112,33994721, ,2.02E+11,,exists
G241366E37068N,CA,G241366E37068N,,RGI60-02.15113,33994749, ,,,exists
G241365E37069N,CA,G241365E37069N,,RGI60-02.15114,33994745, ,,,exists
G241547E37070N,CA,G241547E37070N,US2L00214001,RGI60-02.15115,77318896, ,2.02E+11,,exists
G241538E37070N,Middle Palisade Glacier CA,G241538E37070N,US2L00214002,RGI60-02.15116,77318880, ,2.02E+11,,exists
G241551E37074N,CA,G241551E37074N,,RGI60-02.15117,77318888, ,,,exists
G241314E37072N,CA,G241314E37072N,,RGI60-02.15118,33994699, ,,,exists
G241361E37074N,CA,G241361E37074N,,RGI60-02.15119,33994713, ,,,exists
G241531E37075N,CA,G241531E37075N,US2L00214003,RGI60-02.15120,77318856, ,2.02E+11,,exists
G241539E37078N,CA,G241539E37078N,,RGI60-02.15121,77318860, ,,,exists
G241313E37075N,CA,G241313E37075N,,RGI60-02.15122,33994695, ,,,exists
G241353E37075N,CA,G241353E37075N,US2K04312009,RGI60-02.15123,33994703, ,,,exists
G241309E37076N,CA,G241309E37076N,,RGI60-02.15124,33994689, ,2.02E+11,,exists
G241437E37079N,CA,G241437E37079N,,RGI60-02.15125,33994757, ,,,exists
G241310E37078N,CA,G241310E37078N,US2K04312005,RGI60-02.15126,33994689, ,2.02E+11,,exists
G241512E37083N,CA,G241512E37083N,US2L00214005,RGI60-02.15127,77318842, ,2.02E+11,,exists
G241521E37080N,Norman Clyde Glacier CA,G241521E37080N,US2L00214004,RGI60-02.15128,77318844, ,2.02E+11,,exists
G241515E37086N,CA,G241515E37086N,,RGI60-02.15129,77318838, ,2.02E+11,,exists
G241313E37083N,CA,G241313E37083N,US2K04312006,RGI60-02.15130,33994671, ,2.02E+11,,exists
G241298E37084N,CA,G241298E37084N,,RGI60-02.15131,33994663, ,,,exists
G241525E37088N,CA,G241525E37088N,,RGI60-02.15132,77318840, ,,,exists
G241510E37087N,CA,G241510E37087N,,RGI60-02.15133,77318832, ,2.02E+11,,exists
G241374E37087N,CA,G241374E37087N,,RGI60-02.15134,33994691, ,,,exists
G241531E37090N,CA,G241531E37090N,,RGI60-02.15135,77318836, ,,,exists
G241506E37090N,CA,G241506E37090N,,RGI60-02.15136,77318828, ,2.02E+11,,exists
G241302E37089N,CA,G241302E37089N,,RGI60-02.15137,33994647, ,,,exists
G241330E37090N,CA,G241330E37090N,US2K04312008,RGI60-02.15138,33994667, ,,,exists
G241333E37090N,CA,G241333E37090N,,RGI60-02.15139,33994665, ,,,exists
G241492E37093N,CA,G241492E37093N,US2K04314001,RGI60-02.15140,33994739, ,2.02E+11,,exists
G241288E37091N,CA,G241288E37091N,,RGI60-02.15141,33994631, ,,,exists
G241501E37096N,CA,G241501E37096N,,RGI60-02.15142,77318812, ,2.02E+11,,exists
G241346E37095N,CA,G241346E37095N,,RGI60-02.15143,33994659, ,,,exists
G241497E37098N,CA,G241497E37098N,,RGI60-02.15144,77318808, ,,,exists
G241360E37097N,CA,G241360E37097N,,RGI60-02.15145,33994661, ,2.02E+11,,exists
G241358E37099N,CA,G241358E37099N,,RGI60-02.15146,33994653, ,2.02E+11,,exists
G241373E37101N,CA,G241373E37101N,,RGI60-02.15147,33994657, ,,,exists
G241230E37099N,CA,G241230E37099N,,RGI60-02.15148,33990139, ,,,exists
G241355E37101N,CA,G241355E37101N,US2K04313011,RGI60-02.15149,33994633, ,,,exists
G241500E37105N,CA,G241500E37105N,,RGI60-02.15150,77318804, ,,,exists
G241337E37103N,CA,G241337E37103N,US2K04313015,RGI60-02.15151,33994627, ,,,exists
G241476E37106N,CA,G241476E37106N,,RGI60-02.15152,77318784, ,,,exists
G241472E37107N,CA,G241472E37107N,,RGI60-02.15153,77318776, ,2.02E+11,,exists
G241353E37106N,CA,G241353E37106N,,RGI60-02.15154,33994625, ,2.02E+11,,exists
G241276E37105N,CA,G241276E37105N,US2K04458006,RGI60-02.15155,77258647, ,2.02E+11,,exists
G241501E37110N,CA,G241501E37110N,,RGI60-02.15156,77318788, ,,,exists
G241348E37108N,CA,G241348E37108N,US2K04313013,RGI60-02.15157,33994619, ,2.02E+11,,exists
G241281E37107N,CA,G241281E37107N,US2K04458005,RGI60-02.15158,77258645, ,,,exists
G241515E37111N,CA,G241515E37111N,,RGI60-02.15159,77318794, ,,,exists
G241322E37109N,CA,G241322E37109N,,RGI60-02.15160,77258655, ,,,exists
G241286E37110N,CA,G241286E37110N,US2K04458002,RGI60-02.15161,77258641, ,2.02E+11,,exists
G241297E37108N,CA,G241297E37108N,US2K04458001,RGI60-02.15162,77258643, ,2.02E+11,,exists
G241316E37111N,CA,G241316E37111N,,RGI60-02.15163,77258653, ,,,exists
G241312E37112N,CA,G241312E37112N,US2K04457009,RGI60-02.15164,77258649, ,,,exists
G241512E37114N,CA,G241512E37114N,,RGI60-02.15165,77318778, ,,,exists
G241436E37114N,CA,G241436E37114N,,RGI60-02.15166,120011334, ,,,exists
G241424E37115N,CA,G241424E37115N,,RGI60-02.15167,33994637, ,,,exists
G241348E37112N,CA,G241348E37112N,US2K04313014,RGI60-02.15168,33994605, ,,,exists
G241473E37114N,CA,G241473E37114N,,RGI60-02.15169,77318770, ,,,exists
G241462E37115N,CA,G241462E37115N,US2L00215003,RGI60-02.15170,77318758, ,,,exists
G241465E37115N,CA,G241465E37115N,,RGI60-02.15171,77318760, ,,,exists
G241444E37116N,CA,G241444E37116N,,RGI60-02.15172,77318752, ,,,exists
G241441E37117N,CA,G241441E37117N,,RGI60-02.15173,77318744, ,,,exists
G241271E37121N,CA,G241271E37121N,,RGI60-02.15174,77258637, ,,,exists
G241487E37124N,CA,G241487E37124N,US2L00214013,RGI60-02.15175,77318750, ,,,exists
G241416E37124N,CA,G241416E37124N,,RGI60-02.15176,77318720, ,,,exists
